movie_id,movie_title,director,genre
Christopher Nolan,The Dark Knight,Batman faces his greatest challenge with the Joker,
Christopher Nolan,The Dark Knight,Heath Ledger's Joker performance is legendary,
Christopher Nolan,Inception,Dream within a dream concept executed perfectly,
Christopher Nolan,Inception,This movie about dreams is mind-bending and brilliant,
Christopher Nolan,3,,
Christopher Nolan,Interstellar,,
Christopher Nolan,Sci-Fi,,
Christopher Nolan,Space exploration with emotional depth and scientific accuracy,,
Christopher Nolan,8,,
Quentin Tarantino,Pulp Fiction,Non-linear storytelling at its finest with great dialogue,
Quentin Tarantino,Pulp Fiction,Samuel L. Jackson and John Travolta have great chemistry,
Quentin Tarantino,5,Revenge tale with stylized violence and great cinematography,
Quentin Tarantino,6,,
Quentin Tarantino,Django Unchained,,
Quentin Tarantino,Western,,
Quentin Tarantino,A freed slave's journey to rescue his wife,,
Quentin Tarantino,9,,
Frank Darabont,Drama,7,Hope and friendship in the darkest of places
Frank Darabont,Drama,8,
Frank Darabont,Drama,The Green Mile,
Frank Darabont,Drama,Supernatural elements in a death row setting,
Frank Darabont,Drama,8,
Frank Darabont,9,,
Frank Darabont,The Mist,,
Frank Darabont,Horror,,
Frank Darabont,Creatures in the mist create terror and desperation,,
Frank Darabont,7,,
